Manx,English,Notes,Diplomatic
Skeeal Chaptan Kennedy,The Tale of Captain Kennedy,,Skeeal Captan Kenedy
,,,
"     Va Kennedy mac shenn sidoor, va cummal ayns Divlyn, as va naim echey son turneyr ayns Divlyn as ve feer verçhagh as va Kennedy currit marish dy ynsagh yn leigh. ","     Kennedy was the son of an old soldier, who was living in Dublin, and he had an uncle, a lawyer in Dublin, and he was very rich and Kennedy was placed with him to learn the law. ",,"     Va Kenedy mac shen sidoor, va commal Ayns Diblyn. As va Naim eck eh son turneer ayns Diblyn as ve feer verchagh As va Kenedy curryt maarish dy ynsagh yn leih. "
Cha row veg dy chloan ec yn turneyr as va Kennedy jerkal dy ve yn eirey echey. ,The lawyer didn't have any children and Kennedy was expecting to be his heir. ,,Cha row veg dy cloan eck yn turneer as va Kenedy jerkal dy ve yn eirey eck eh. 
Va un inneen elley cummal ayns thie yn turneyr va oe da myrgeddin. Va’n ennym eck Lucy Davison.,There was one other girl living in the lawyer’s house who was also his grandchild. Her name was Lucy Davison.,,Va un inneen elley cummal ayns thie yn turneer va O da myrgheddyn. van ennym ec Lucy Davison’ 
     Tra veagh Kennedy çheet voish yn offish ayns yn astyr veagh eh cur lesh lane poagey beg dy phabbyryn gys thie e naim.,     When Kennedy was coming from the office in the evening he’d be bringing a full bag of papers to his uncle’s house.,,Thra vagh Kenedy cheet voish yn ovish ayns yn fastyr vagh eh cur lesh lane poagey beg dy faveryn Gys thie y Naim.
"     As myr v’eh çheet thie un astyr va daa ghooinney yeealley y-cheilley ayns yn traid as va Kennedy laccal fakin ad, as chur eh yn poagey dy phabbyryn da fer dy chummal choud’s v’eh clamberagh seose er boalley, as tra haink eh sheese v’an scollag ersooyl lesh ny pabbyryn as cha row eh ry-gheddyn ayns ayrn erbee. ","     And as he was coming home one afternoon there were two men fighting each other in the street and Kennedy was wanting to see them, and he put the bag of papers to a man to hold whilst he climbed up on a wall, and when he came down the youth had disappeared with the papers and wasn’t to be found anywhere.",,"As myr ve cheet thie un fastyr va daa ghoinney yeeley y chelley ayn yn traid as va Kenedy laghal fakin ad, as chur eh yn poagey dy faveryn da fer dy cumma choud as ve clambeeragh seose er boaley, as tra haink eh sheese v’an scollag ersooyl lesh ny paveryn as cha row eh rygheddyn ayns ayrn erbee. "
"     Myr shen va’n naim echey feer fargagh er coontey ny pabbyryn son v’ad lane coayl da. As chur eh Kennedy ersooyl as dooyrt eh rish gyn dy bragh dy yeeaghyn e eddin da reesht, myr shen cha row boayl erbee echey dy gholl as ren eh failley son sidoor.","     So, the uncle was really furious about the papers because they were a great loss to him, and he sent Kennedy away and told him never to show his face to him again, so he had nowhere to go and he was hired as a soldier.",,"Myr shen van Naim eck eh feer fargagh er coontey ny paveryn son vad lane coayl da. As chur eh Kenedy ersooyl as dooyrt eh rish gyn dy bragh dy yeeaghyn y eddyn da reesht, myr shen cha row boayl erbee eck e dy ghool as ren eh failley son sidoor, "
     Ayns traa gerrid hooar eh son captan.,     In a short time he got to be a captain. ,,ayn tra gerryd hoor eh son captan 
V’eh ayns traa yn irree magh ayns Nerin as v’eh hene as paart jeh ny sidooryn ayns balley beg çheerey enmyssit Woodford. ,It was in the time of the rebellion in Ireland and himself and some of the soldiers were in a little country village called Woodford.,,ve ayns tra yn irree magh ayns Nheryn As ve hene as paart jeh ny sidooryn ayns balley beh cheerey emnysit Wood – ford.
As va daa rebbal enmyssit Johnny Gibbons as Garland marish yn çheshaght oc goaill ayns ny sleityn mygeayrt Woodford as veagh ad mennick jannoo olk da’n sleih mygeayrt-y-moo. ,"And there were two rebels called Johnny Gibbons and Garland with their troops frequenting the mountains around Woodford and they would often be doing bad things to the people around about them, ",,As va daa ravval emnysyt Johnny Gibbins as garlan maarish yn cheshaght  ock ghoaill ayns ny sleityn mygeart woodford as vagh ad mennick jannoo olk d’an sleih mygeart y moo.
,,,
As veagh Kennedy as ny sidooryn goll dy,"and Kennedy and the soldiers would be going to search for them in the region, but there were so many chasms (gullies) in the mountain that they couldn’t find them.",,As vagh Kenedy as ny sidooryn gholl dy runsagh er nyn son ayns yn air agh va wheesh dy scoryn ayns yn chlieau gyn nagh voddagh ad gheddyn ad 
 ronsagh er nyn son ayns yn ard agh va wheesh dy skortyn ayns yn clieau gyn nagh voddagh ad gheddyn ad.,,,
"     Un oie, haink ad er thie beg ayns skort as cha row ry-akin ayn agh un ven as v’ee ny lhie er lhiabbee as jannoo magh dy row ee feer çhing. ",     One night they came across a little house in a gully and the only thing visible in it was one woman and she was lying on a bed and making out that she was very sick. ,,Un oie haink ad er thie beg ayns scor as cha row ry akin ayn agh un ven as vee ny lhie er lhiabbee as jannoo magh dy row ee feer ching 
Va ny sidooryn son cur yn thie er aile agh tra haink Kennedy dooyrt eh nagh jinnagh eh lostey yn ven çhing myr baillish feed dy rebbalyn ve ayn.,The soldiers were in favour of setting the house on fire but when Kennedy came he said he wouldn’t burn the sick woman as he would want twenty rebels to be in it.,,va ny sidooryn son cur yn thie er aile agh tra haink Kenedy dooyrt eh nagh jeanagh eh lostey yn ven ching myr ballish feed dy ravalyn ve ayn.
"     Un laa, traa gerrid lurg shen, hie Kennedy dy eeastagh ayns yn awin as v’eh er gholl voish yn thie ooilley yn traa as va’n fastyr tayrn er gerrey as ghow eh ayns laue dy gholl harrish yn clieau son dy yannoo yn raad giare, as myr ve clamberagh harrish yn clieau veeit eh rish ben aeg feer aalin, as hooar eh holt urree as dooyrt ee rish dy beagh eh goit ny phryssoonagh ec Johnny Gibbons noght, agh gyn eh ve feer agglagh, dy gholl maroo dy beasagh as dy voddagh eh gheddyn e vioys. ","     One day, a short time after that, Kennedy went to fish in the river and he had gone from the house all the time and night was drawing in and he decided to go over the mountain to make a shortcut, and as he was climbing over the mountain he met a beautiful young woman, and he got a hold of her and she told him that he would be taken prisoner by Johnny Gibbons that night, but not to be very afraid, to go compliantly with them and he would be able to stay alive. ",,Un laa tra gherryd lurg shen hie Kenedy dy eeastagh ayns yn awin as ve ghool voish yn thie ooilley yn tra as van fastyr tayrn ergerrey as ghow eh ayns laue dy gholl harrish yn chlieu son dy yannoo yn raaid gayre as myr ve clambeeragh harrish yn chlieau veet eh rish ben aig feer aalin as hoor eh holt urree as dooyrt ee rish dy bagh eh goit ny prossoonagh eck fanny gibbons noght agh gyn eh ve feer aglagh dy gholl maaroo dy beasagh as dy voddagh eh gheddyn y vioys.
     Agh cha row Kennedy cur geill da ny goan eck agh hayr ee voish as hooar ee ayns skort ennagh as cha noddagh eh fakin ee ny sodjey. ,"     But Kennedy wasn’t paying heed to her words, but she caught [got] away from him and she got into a gully and he couldn't see her any longer.",,Ag cha row Kenedy cur geaill da ny goan ekc agh hayre ee voish as hoor ee ayns Scor innagh as cha noddagh eh fakin ee ny sodjey 
"     Myr shen hie eh er yn raad as ayns traa gerrid veeit eh dooinney lesh cooat mooar as faasaag feer liauyr as ghow yn dooinney holt er Kennedy as haink fer elley as ren ad leeideil eh trooid ny skortyn as va shenn ghooinney ayns shen stillal whiskey as cheayl Kennedy yn çhenn ghooinney gra “Moirrey Moir Chreest bee mie rish, son cha vel Johnny Gibbons dy bragh jannoo myghin er unnane.”",     So he went on his way and in a short while he met a man with a greatcoat and a very long beard and the man took a hold of Kennedy and another man came and they led him through the gullies and there was an old man there distilling whiskey and Kennedy heard the old man say “Mary Mother of Christ be good to him because Johnny Gibbons isn’t ever showing mercy to anyone.” ,,Myr shen hie eh er yn raaid as ayn tra gerryd veet eh dhoinney lesh quiot mooar er fassaig feer louyr as ghou yn dhoinney holt er Kenedy as haink fer elley as ren ad leeiddeeil eh trooid ny soryn as va shen goney ayns shen stillal whiskey as cheeal Kenedy yn chen ghoiney gra Moirrey Moir Chreest bee mie rish son cha vell Jonny gibbins dy breagh jannoo myghyn er unnan
     Haink ad ec y jerrey gys corneil va lane rennagh as shiartanse dy gheiney cadley ayn.,     They came at last to a nook that was full of bracken with several men sleeping in it.,,haink ad eck y jerrey gys cornaill va lane rennagh as shartans dy ghoiney cadley ayn 
Hass Kennedy ec y dorrys choud’s va fer doostey Johnny Gibbons as dooyrt Gibbons “Cre’n aght nagh ren shiu hene marroo eh as gyn boirey mish?”,Kennedy stood at the door whilst a man woke Johnny Gibbons and Gibbons said “Why didn’t you kill him yourselves and not bother me?”,,hass Kenedy eck y dorrys choud as va fer doostey Johnny gibbins as dooyrt gibbins cren aght nagh ren shu hene marroo eh as gyn boirey mish 
"Ghow eh Blunderbuss ass corneil as chur eh poodyr ayn, agh cha ren ee gholl jeh, myr shen chur eh tooilliu aynjee as chur eh yn saagh va’n poodyr ayn ayns poggaid e chooat mooar.","He took a blunderbuss out of a corner and he put powder in it, but it didn’t go off, so he put more in it and put the vessel the powder was in the pocket of his greatcoat.",,Ghou eh Blunderbuss as cornail as chur eh poodyr ayn agh cha ren ee ghool jeh myr shen cur eh thalloo ayn Jee as chur eh yn siagh van poodyr ayn ayns poggad y coot moor
"Tra hie eh dy lhiggey reesht ren Kennedy puttey ee dy lhiattee, ren Gibbons holtal eh eisht, as tooilliu jeh e gheiney, as va Kennedy lhieggit as shey ny shiaght jeu er e vullagh, as lesh yn sprettal v’oc va ooilley yn whisky deayrtit orroo.","When he went to shoot again Kennedy pushed it aside, Gibbons held him then, and more of his men, and Kennedy was felled, with six or seven of them on top of him, and with their kicking, all the whisky spilled onto them.",,"tra hie eh dy liggey reesht ren Kenedy puttey ee dy lhattie, ren giblins holtal eh esht as thulloo jeh y ghooiney as va Kenedy lhaggyrt as shey ny shaght jiu er y vullagh as lesh yn spretal va ock ooilley yn whisky deartyt orroo. "
Honnick Kennedy fer çheet lesh wappin dy varroo eh as ayns yn traa shen va pistol laadit çheu mooie as va’n dooinney lhiggey eh jeh voddagh eh shooyl my oddagh dy eiyrt ersyn as tra va’d er jeet ass ny scoryn van ven aeg ayns shen fieau er nyn son. ,"Kennedy saw one of them coming with a weapon to kill him and at that moment there was a loaded pistol outside and the man was firing it off so that he could walk if he could follow him, and when they had come out of the gullies the young woman was there waiting for them. ",,"honnick Kenedy fer cheet lesh wapin dy varroo eh as ayns yn tra shen va pistol lhiodyt  cheau mooie as van dhonney lhiggey eh jeh voddagh eh shooyl my oddagh dy eyrt ersyn as tra vad er jeet ass ny scoryn van venaig ayns shen feau er nyn son, "
V’ee ben yn dooinney ren sauail eh as haink eh hene as yn ven marish Kennedy gys Woodford as ren Kennedy sargeant jeh ayns yn çheshaght echey hene.,"She was the wife of the man that saved him, and himself and the woman came with Kennedy to Woodford and Kennedy made him a sergeant in his own company.",,vee ben yn dhoiney ren sauail eh As haink eh hene as yn ven marish Kenedy gys woodford As ren Kenedy sargon jeh ayns yn cheshaght eck eh hene
     Va’n ennym echey Patrick Dyer.,     His name was Patrick Dyer.,,Van ennym eck eh Patrick dyer
Va’n Naim echey saggyrt-skeerey as va Pat lhiannoo-gyn-ayr as ve troggit marish y taggyrt[1]. ,His Uncle was a parish priest and Pat was an orphan and he was raised by the priest.,"[1] marish y taggyrt] ‘with the priest’ — the original has [marish y priest] with [priest] crossed out and what looks like [saggyrt] ‘priest’ inserted. The priest in question is likely Fr. Myles Pendergast who was imprisoned with John Gibbons in 1798, and escaped with him in 1799 or 1800, and lived until 1842.",Van Naim eck eh Priest saggyrt ‘Skeerey’ as va pat Lhannoo gyn Ayr as ve throggit marish y Priest saggyrt
"Va’n naim streeu dy ynsagh eh son  jed goll-rish hene, agh cha jinnagh Pat goaill ynsagh.",The uncle was striving to instruct him as a holy father like himself. But Pat wouldn’t be taught.,,van Naim strieu dy ynsagh eh Son geg jed gloll rish hene Agh cha jeanagh Pat ghoaill ynsagh. 
"Va dooinney berçhagh cummal ayns yn nabooys, va’n ennym echey Perceval as va un inneen echey; Agnes,  as va Pat as ee hene gaase feer coardit as mennick shooyl cooidjagh.","There was a rich man living in the neighbourhood whose name was Perceval and he had one daughter, Agnes, and Pat and herself were growing fond of eachother and often walking together.",,Va Dhonney berchagh commal ayns yn nabooys van ennym eck eh Perceval As va un inneen eck eh Agnes as va Pat as ee hene gaase feer coardyt as mennick shooyl cudjagh
As un laa v’ad ayns yn gharey as ren Perceval clashtyn c’red v’ad taggloo jeh as chur eh fys hug jed dy chur Pat ersooyl ass raad yn inneen echey.,And one day they were in the garden and Perceval heard what they were talking of and he sent for the holy father to send Pat away out of his daughter’s way.,,As un laa vad ayns yn gaarey as ren Percival clashtyn cred vad tagloo jeh as chur eh fyss hug jeg dy chur Pat ersool as raad yn inneen eck eh.
     Myr shen chur yn Priest myghtan[2] da lesh sluight dy airh ayn as dooyrt eh rish dy gholl as dy ynsagh son priest as dy heet thie ny yed[3] ny dyn dy heet thie arragh.,     So the priest gave him a [packet?] with a small amount of gold in it and told him to go study to be a priest and to come home a father [priest] or not to come home again.,"[2] myghtan] a word not found elsewhere in the corpus. Seems to mean packet, or purse.
[3] Jed] ‘a father’ (J. Kelly). Ned Beg uses this word specifically for ‘father’ in the sense of a Roman Catholic priest.",Myr shen chur yn Priest myghtan da lesh slught dy airh ayn as dooyrt eh rish dy goll as dy ynsagh son Priest as dy heet thie ny yed ny dyn dy heet thie arragh
"Myr shen hie Pat roish as ren eh troailt raad liauyr gys haink eh gys Balley va enmyssit Ennys Skillen, as honnick eh sheshaght dy ghragoonyn; sidooryn cabbyl, goll trooid nyn shirveish, as tra va ooilley harrish haink fer jeh ny offisheryn (oaiseryn) gys Pat as vrie eh j’eh c’red ve coontey jeu. ","So, Pat went on his way and he travelled a long way until he came to a town called Enniskillen, and he saw a company of dragoons, horse soldiers, going through their service [drill? parade?] and when it all was over one of the officers came over to Pat and asked him what he thought of them. ",,"myr shen chur hie Pat rosh as ren eh throalt raaid louyr gys haink eh gys Balley va enmyssit Ennys Skillen, as honnick eh sheshaght dy dragoonyn Sidooryn cabbyl gholl trooid nyn sherveish As tra va ooilley harrish haink fer jeh ny ovisheryn (oaisheeryn) gys Pat as vrie eh jeh cred ve coontey jiu."
As dansoor Pat dy row eh coontey feer vie jeu as dy beagh eh booiagh ve fer jeu as ren yn offisher failley eh son sidoor cabbyl ec keayrt.,And Pat answered that he reckoned them to be very good and that he would be willing to be be one of them and the officer hired him as a horse soldier at once.,,As dansoor Pat dy row eh coontey feer vie jiu as dy bagh eh booiagh ve fer jiu as ren yn ovisher falley eh son sidoor cabbyl eck cheayrt.
     Va scollag aeg cummal ayns yn valley haink Pat voish as cha row eh ooilley ayn. V’ad gyllagh eh Morteen Beg.,     There was a youth living in the town Pat came from and and he wasn’t ‘all there’. They were calling him Morteen Beg.,,Va scollag aif commal ayns yn balley haink Pat voish as cha row eh ooilley ayn vad gillagh eh Morteen beg
Tra va Pat er ve tammylt dy hraa ayns Ennys Skillen v’eh yn fastyr kiartagh yn cabbyl as haink Morteen beg huggey as chur eh screeuyn da. ,When Pat had been a while in Enniskillen it was the afternoon for preparing the [his] horse and Morteen Beg came to him and gave him a letter.,,Tra va Pat er ve tammylt dy chraa ayns ennys skillyn ve yn fastyr kartagh yn cabbyl as haink Morteen beg hug eh as chur eh scrieuyn da. 
"     Va fer ennagh er vakin Pat as er chur enney er as va fys ec Agnes c’raad v’eh as chur ee Morteen Beg lesh yn screeuyn va ginsh da dy row ee dy ve poost ayns tree laa rish shenn verçhan voish Belfast, as v’ee laccal Pat dy heet dy hauail ee. ","     Someone had seen Pat and recognised him and Agnes knew where he was and sent Morteen Beg with the letter that was telling him that she was to be married in three days to an old merchant from Belfast, and she was wanting Pat to come and save her.",,Va fer ennagh er vakin Pat as er chur enney er as va fyss eck Agnes craid ve as chur ee Morteen beg lesh yn srcruyn Va ginsh da dy row ee dy ve ppose ayns three laa rish shen verchan voish Belfast as vee laghal Pat dy heet dy hauail ee
     Va’n çhenn ghooinney shoh feer verçhagh. Connolly va’n ennym echey. ,This old man was very rich. Connoly was his name. ,,van chen ghoinney shoh feer verchagh Conoly van ennym eck eh. 
Cha row fys ec Pat c’red dy yannoo agh dinsh eh da paart jeh e chomraagyn as choyrlee ad eh dy gholl dy hauail yn ven seyr.,Pat didn’t know what to do but he told some of his comrades and they advised him to go to save the lady.,,Cha row fyss eck Pat cred dy yannoo agh dinsh eh da paart jeh y comraagyn As cayrlee ad eh dy gholl dy hauail yn ven seyr. M 
"Myr shen hie eh gys yn cholonel dy vriaght son kied dy gholl ersooyl son ghaa ny tree dy laghyn, agh ren yn colonel gobbal kied da.","So he went to the colonel to ask for leave to go away for two or three days, but the colonel refused him permission.",,yr shen hie eh gys yn connal dy vriagh son keed dy ghool ersooyl son gha ny three dy laghyn Agh ren yn Connal ghobbal keed da
"Eisht dinsh eh dy e chomraagyn, as chur ad coyrle da dy haartyn ersooyl fegooish kied; as shen ren eh jannoo.","Then he told his comrades, and they advised hom to catch (slip) away without permission and that is what he did.",,esht dinsh e dy y comraagyn as chur ad coyrle da dy haartyn ersooyl fegoish keed as shen ren eh jannoo. 
"     Tra haink yn oie, hie eh roish er e yurnaa as laa ny vairagh va ny offisheryn goaill yindys c’raad va Pat ersooyl, agh ren e chomraagyn ginsh dy row fys ocsyn c’raad v’eh ersooyl as dy jinnagh ad goll dy gheddyn eh thie.","     When the night came he went ahead on his journey and the next day the officers were wondering where Pat had gone, but his comrades told that they knew where he had gone and that they would go to get him home.",,Tra haink yn oie hie eh rosh er y yurna as laa ny vairagh va ny ovisheryn ghoaill yindys cred va Pat ersooyl Agh ren y comraagyn ginsh dy row fyss ocksyn cred ve ersooyl as dy jeanagh ad gholl dy gheddyn eh thie
"Myr shen va mysh dussan jeu currit dy gheddyn Pat as ren ad roshtyn yn balley ayns yn astyr as hooar ad Pat ny lhie er cronk beg son nagh jinnagh yn sleih fakin eh, as va mooinjer yn phoosee er yn raad gys yn cheeill traa shoh.","So, there was about a dozen of them sent to get Pat and they reached the town in the afternoon and they found Pat lying on a small hill so that the people wouldn't see him, and the wedding party were on the way to the church at this moment. ",,Myr shen va mysh dossan jiu curryt dy gheddyn Pat As ren ad rostyn yn balley ayns yn fastyr as hoor ad Pat ny lie er cronk beg son nagh jeannagh yn sleih fakin eh. As va mooinjyr yn foosie er yn raid gys yn keeil tra shoh 
Ren comraagyn Phat naaragh eh son lhie ayns shen as nagh row eh streeu dy hayrtyn yn ven seyr.,Pat’s comrades teased him for lying there and that he wasn’t trying to catch the lady.,,Ren comraagyn Pat naaragh eh son lhie ayns shen as nagh row eh strieu dy haartyn yn ven seyr. 
"Myr shen haink eh gys dorrys yn cheeill as e chomraagyn marish, as va Agnes as Connolly ny hassoo kiongoyrt rish jed as va ymmydee sleih ayns yn cheeill, er shen hie Pat stiagh dy meeley as choyrt (eh) e roihaghyn mysh Agnes, chur eh lesh ee magh as yn cheeill, as tra roie yn sleih dy hayrtyn, as tra haink ad gys yn dorrys va dussan dy hidooryn cabbyl ayns shen lesh cliwenyn rooisht as cha by-loys da nane çheet magh.","So, he came to the door of the church with his comrades, and Agnes and Connoly were standing before father [the father / priest] and there were many people in the church, whereupon Pat went in softly and he put his arms around Agnes, brought her out of the church, and when the people ran to catch (them), and when they came to the door, there were a dozen horse soldiers there with bared swords and no one dared come out.",,"Myr she haink eh gys dorrys yn keeil as y comraagyn maarish. As ve Agnes as Connoly ny hassoo kiongoyrt rish Geg as va ymmydee sleih ayns yn keeil er shen hie Pat stiagh dy meeley as churt y reeaghyn mysh Agnes chur eh lesh ee magh as yn keeil, as tra roie yn sleih dy haartyn as tra haink ad gys yn dorrys va dussan dy hidoory cabbyl ayns shen lesh cliwnyn rush (roouhl) as cha belose da nane chut magh. "
As chur Pat lesh yn ven seyr ersooyl agh cha by-loys da goll gys ny sidooryn arragh son v’eh er ve geddynit magh. As hie eh hene as Agnes gys Johnny Gibbons as v’eh son tammylt dy hraa fer jeh deiney Johnny Gibbons.,"And Pat brought the lady away, but he didn’t dare go to the soldiers again because he had been found out, and himself and Agnes went to Johnny Gibbons and he was, for a while, one of Johnny Gibbons’ men. ",,As chur Pat lesh yn ven seyr ersooyl agh cha belose da gholl gys ny sidooryn magh son ve er ve ghiddynit magh. As hie eh hene as agnes gys jonny Gibbins as ve son tammylt dy chra fer jeh dhoiney Jonny Gibbins 
"     Ren Kennedy geddyn eh dy ve sargeant, as ayns traa gerrid ny lurg shen haink fys huc ooilley dy heet gys Divlyn son dy row ad dy hiaulley son yn Rank ayns traa gerrid dy chaggey rish yn Boney as ny Frangee. ","     Kennedy got him to be a sergeant[4], and shortly after that word came to them to all come to Dublin because they were to sail to France in a short while, to fight ‘the Boney’[5] and the French.","[4] The story doesn’t explain how or why Kennedy re-enlisted or how Gibbons was able to enlist.
[5] the Boney] nickname for Napoleon Bonaparte — without the article in English.",Ren Kenedy gheddyn eh dy ve sargon As ayns tra gherryd ny lurg shen haink fyss huck ooilley dy heet gys Diblin son dy row ad dy hiaulley son yn Rank ayns tra gherryd dy chaggey rish yn Boney as ny frangee
"     As tra haink ad gys Divlyn va naim Kennedy yn turneyr marroo as va ooilley yn verçhys echey faagit da Lucy Davison, as hie Kennedy gys yn thie traa cheayl eh dy row e naim oanluckit as ren eh geid cree Lucy Davison.","     And when they came to Dublin, Uncle Kennedy the lawyer was dead and all his wealth was left to Lucy Davison, and Kennedy went to the house when he heard that his uncle was buried and he stole the heart of Lucy Davison.",,as tra haink ad gys diblin va naim Kenedy yn turneer marroo as va ooilley yn verchys eck eh faagyt da Lucy Davison As hie Kenedy gys yn thie tra cheeal eh dy row y Naim oanluckyt as ren eh gheid chree Lucy Davison. 
"As haink ee geiyrt er gys Brussels as lurg caggey Waterloo cha row assee erbee er Dyer, agh va Kennedy broojit dy mie as v’eh son shiaghtin ny jees roish ren eh cur enney er Lucy ny hoie ec yn lhiabbee. ","And she came following him to Brussels and after the battle of Waterloo there was no harm done to Dyer, but Kennedy was well bruised and it was a week or two before he recognized Lucy seated at the bed. ",,"As haink ee giyrt er gys Brussels as lyrg chagget Waterloo cha row assee erbee er Dyer, agh ve Kenedy brugys dy mie as ve son shaghtyn ny jees rosh ren eh cur enney er Lucy ny hoie eck yn lhiabbee "
"Agh ren eh cowral as poosey Lucy Davison as goaill soylley jeh ooilley berçhys e naim— as mannagh vel ad marroo, t’ad bio foast!","But he recovered and married Lucy Davison and enjoyed the wealth of his uncle— and unless they’re dead, they’re still alive!",,Agh ren eh cowral as poosey Lucy Davison as ghoaill solley jey olley berchys y Naim as myr nagh vell ad marroo t’ad bio foast
,,,
,,,
,,,
,,,
,,,
,,,
,,,
