Manx,English
Y Chorn noi'n Cho-reiltys Goaldagh,
"Roish screeu mychione scoillyn sy Chorn, lhig dou gra dy vel mee er naa-vioghey yn cedilla! Va mee goaill aggle nagh beagh sleih ennagh abyl eh y chlou, agh nish ta mee daaney dy liooar eh y chur erash.",
"She Screeudeyr Ynsee y Cho-reiltys Goaldagh Michael Gove. Sleih casley rhym pene va cliaghtey fakin y fer agglagh shoh er claare ny h-ellynyn oie Jeheiney er BBC2 paart dy vleeantyn er dy henney, gyn ourys ta ram jin goaill yindys dy vel pooar dy liooar ec y toot sonaasagh shoh sy reiltys smoo Thoreeagh t'er ve ayns Lunnin rish ymmodee bleeantyn. Agh foddee nagh lhisagh shin goaill yindys: she reiltys feer varb as almoragh t'ayn, ta currit da daa eie-oaylleaght nyn lomarcan: cur ooashley da argid as tranlaasey sleih boght. Ta Gove jeeaghyn gollrish as loayrt gollrish yn ard-yilley ayns scoill Hostnagh son gillyn berchagh. Agh she dooinney feer ghaueagh t'ayn, dy jarroo. T'eh jannoo e chooid share dy stroie scoillyn y phobble t'ayns Sostyn nish as dy chur colleishyn-Gove syn ynnyd oc. T'eh gra 'academies' rish ny colleishyn shoh. S'treih yn red eh dy vel y Chorn coontit dy ve ny h-ayrn jeh Sostyn as dy vod Gove cur yn oik er ny Cornee.",
"Ayns y Chorn, tra hug Gove toshiaght da'n chalee echey, dooyrt kuse dy h-ard-ynseyderyn dy row ad arryltagh goaill Skillin y Ree - v'ad aarloo dy chaghlaa nyn scoillyn dy ve nyn golleishyn-Gove. Hug shen broo mooar er scoillyn faggys daue y red cheddin y yannoo. Agh hass ard-ynseyderyn elley dy dunnal noi caghlaa ny scoillyn oc gys academeeyn. Ghow ny h-ard-ynseyderyn toshiaght dy smooinaghtyn mychione cur er bun coarys-ynsee sauchey veagh coadey yn fallsoonys jeh ynsagh-steat as credjue firrinagh ayns co-phobbleyn.",
"Shimmey scoill veg t'ayns y Chorn, as dy mennick ta ny scoillyn beggey shoh ayns buill fadaneagh. Yn aght ta scoillyn geddyn argid (coardail rish formley ayns Sostyn), v'eh jannoo baggyrt dy ragh scoillyn beggey sy Chorn er dooney. Hoig y lught-reill ynnydagh nagh voddagh ad cur argid son dy bragh dy chummal scoillyn beggey foshlit. Begin red ennagh y yannoo dy chummal ny scoillyn shoh myr ayrn jeh ny co-phobbleyn ynnydagh oc. Y feaysley - cheet dy ve nyn ayrnyn jeh treishtyn co-obbragh (co-operative trusts).",
"Cheet dy ve ny ayrn jeh treisht cho-obbragh, shen aght da scoill dy hannaghtyn ayns boodeeys marish lught-reill ynnydagh as, ec y traa cheddin, cosney yn foays as so-lhoobaght jeh rheynn argid as skimmee marish scoillyn sy nabooys. Ta treishtyn goll er stiurey myr sheshaghtyn coreggyrtagh ta freayll shirveish-ynsee ta deynlagh -shirveish raad oddys skimmee, paarantyn, ynseydee as y co-phobble gra myr possanyn corrym cre'n aght lhisagh scoillyn goll er stiurey.",
"Jon Lawrence, ard-ynseyder ec Scoill Sir James Smith ayns Camelford, she eshyn va'n chied ard-ynseyder sy Chorn dy ghoaill ayns laue yn coarys co-obbragh. Ren eh co-obbraghey marish yn NASUWT dy chummey treisht ren shickyraghey dy row faill as conaantyn ashoonagh er nyn vreayll, as dy row bree ec sheshaghtyn-keirdey bentyn da barganey. Dooyrt Mnr Lawrence: 'Cur er scoillyn dy ve nyn academeeyn, cha nel shen croo anchaslys as cur reih er e hoshiaght. Dy bunneydagh, t'eh noi cooishyn ynnydagh as t'eh noi deynlaght - t'eh cur smaght er ynsagh ayns ny laueyn jeh possan feer veg. Ta'n coarys co-obbragh cur cryss hauaillagh dooin - caghlaays ta dy firrinagh so-chummal seose, ta cur ablid da sleih ynnydagh dy obbraghey ry cheilley ry hoi yrjaghey stundayrtyn - as dy hauail scoillyn-cheerey beggey.'",
"cairys heshoil, shassoo ry cheilley as boodeeys. T'ee bentyn da coreggyrtys, cha nee preevaadjaghey. T'ee bentyn da possanyn dy scoillyn gobbraghey ry cheilley marish y co-phobble er aght strateishagh gys feesh rheynnit jeh ynsagh share.'",
"Ta tooilley scoillyn er jeet ry cheilley dy yannoo dossyn as er ngoaill ayns laue dy ve nyn dreishtyn co-obbragh. Ta Mark Clutsom ny ard-ynseyder ec Bunscoill Upton Cross, scoill-cheerey veg as ny sloo na shiaghtad ynseydee aynjee. T'ee shirveishagh ard-eirinys ta skeaylt harrish Reeast Bodmin. Haink eh dys y vriwnys dy nee cur treisht co-obbragh er bun va'n ynrican aght dy livrey curriglym lhean da e ynseydee, red nagh dod agh bunscoillyn mooarey jannoo. Dooyrt Mnr Clutsom: 'Cha nel treisht cho-obbragh caghlaa ny conaantyn ta'n skimmee gobbraghey fo - fee niartaghey as formoiley yn obbyr er bashtal t'er ve fo raad harrish y Chorn'. Nish, ta ny shlee treishtyn co-obbragh sy Chorn na academeeyn. Ta'n Chorn soilshaghey magh dy vel feesh-ynsee ayn ta freayll y spyrryd jeh ynsagh-steat, feesh ta cur ny femeyn jeh skimmee-scoill as ynseydee kiart ec e cree.",
"Cha nodmayd cur y loght er Michael Gove boght son academeeyn ny lomarcan. Va'n eie jeh academeeyn snaue mygeayrt ayns lhing Tony Blair - y Trass Aght as ooilley yn voghtynid shen. Agh ta loght mooar er Gove. Casley rish ram politickeyryn Sostnagh t'eh graihagh er goll gys cheeraghyn elley, jeeaghyn er ny reddyn t'ad jannoo ayns scoillyn, as cheet erash gys Sostyn dy chur bree da ny h-eieyn Thoreeagh echey hene -lhiggey er dy daink ny h-eieyn shen veih cheeraghyn joarree. Ta Gove gra dy vel eh jannoo arrish er eieyn veih'n Toolynn as veih Finnlynn. Agh ny 'scoillyn Soolynnagh' t'eh son cur er bun ayns Sostyn, ta ny Soolynnee gra nagh bee 'scoillyn Soolynagh' Gove casley rish scoillyn Soolynnagh. As, creid eh ny dyn, ta Gove coontey ram jeh scoillyn Finnlynnagh. Coardail rish gagh scrutaght eddyrashoonagh, ta ny scoillyn Finnlynnagh mastey ny scoillyn share sy teihll. Agh cha nel Finnlynn gollrish Sostyn er chor erbee. Ayns Finnlynn, cha nel paitchyn goll er ynsaghey dy formoil derrey t'ad shiaght bleeaney dy eash. Cha nel prowallyn ny scrutaghtyn erbee ec paitchyn Finnlynnagh derrey t'ad faagail scoill, bunnys. Ta staydys ard ec ynseyderyn Finnlynnagh, ta cosney argid mie. As ayns Finnlynn, cha nel monney anchaslys eddyr sleih berchagh as sleih nagh vel cho berchagh. Cha nel ooilley yn fysseree shen mychione Finnlynn ry chlastyn voish Gove. Booise da Jee dy vel Cornee shassoo noi yn dooinney atchimagh shoh.",
,Summary
,"There is resistance in Cornwall to the dictatorial actions of the London coalition government in forcing schools to become so-called 'academies' — a major pet project of the hyperactive Michael Gove, the coalition's education boss."
Brian Stowell,
