Manx,English,Diplomatic
Padjer ayns Gaelg:,A prayer in Manx:,Padjer ayns Galg:
 O Uss ta Çhiarn erskyn dagh nhee,"O, You are Lord above every thing",O Uss ta Chiarn erskin dagh nhee
Ta er yn ooir rouaill,That wonders on the Earth,Ta er yn ooir rowaill
Ayns myghyn gow seose slane my chree,"In mercy, take up the entirety of my heart",Ayns myghyn ghow seose slane my chree
As jean mee y hauaill,And save me,As jean mee y hauaill
O gow dagh smooinnaghtyn neughlen,O take all impure thoughts,O ghow dagh smooinaghtyn neughlen
Ersooyl as lhian lesh graih,"Away, and adhere with love",Ersooyl as lhian lesh graih
As siyr dagh peccah magh ass shin,And hurry every sin out from us,As siyr dagh peccah magh as shin
Gys hee’m ayns Niau dy oaie,Until I see your face in Heaven,Gys hee’m ayns Niau dy oaie
Gow çhymmey jee’m ta geam son graase,"Be compassionate towards I, who calls for grace",Gow chymmey jee’m ta geam son graase
Shooyl maart hene ayns shoh,Walking with you here,Shooyl maart hene ayns shoh
As jean mee aarloo son y vaase,And make me ready for death,As jean mee aarloo son y vaase
Nish choud as ta mee bio,"Now, whilst I am alive,",Nish choud as ta mee bio
Chouds ta mee ayns yn seihll er-mayrn,"Whilst I remain in the world,",Chouds ta mee ayns yn seihll ermarn
Cur dou dty spyrryd mie,Give me your good spirit,Chur dow dy spyrryd mie
Dy voddym ooashlagh oo my Hiarn,So that I can worship you my Lord,Dy voddym o oaishlagh oo my Hiarn
Lesh aigney feagh cheustie,With a calm mind within,Lesh aigney feeagh cheustie
Shione dhyt dagh nhee ta taghyrt dou,How well you know every thing that happens to me,Shone dhut dagh nhee ta taghyrt dow
Dagh seaghyn as dagh feme,Every sorrow and every need.,Dagh seaghyn as dagh feme
O cur dagh oyr dy peccah mow,O destroy every cause of sin,O cur dagh oyr dy peccah mow
Ta mee dy imlee geam,I humbly call,Ta mee dy ymlee geam
Nagh ren Oo choyrt dty vac hene sheese,"Did you not send your own son down,",Nagh ren Oo churt dy vac hene sheese
Dy voddyn gheddyn bea,So I can find life,Dy voddyn gheddyn bea
Bish ayns dty ghraih as dy erreeish,Prosper in your love and your compassion,Bish ayns dy graih as dy eeresht
Cur dou veih peccah fea,Give me rest from sin,Cur dow veih peccah fea
Nish skeayl yn graih ayd er cheustie,Now spread your love within ,Nish schuayl yn graih ayd er cheustie
Er ghraih dty ennym hene,"For the love of your name,",Er ghraih dy ennym hene
As lieen mee lesh dty spyrryd mie,And fill me with your good spirit,As lieen mee lesh dy spyrryd mie
As brish dagh geuley jee’m,And break every fetter from me,As brish dagh gowley jee’m
O jean mee aarloo dy choyrt sheese,O make me ready to surrender,O jean mee aarloo dy churt sheese
My vioghys ec dty ghoo,My life at your word,My viogys ec dy ghoo
Dy noddym fakin eddin Chreest ,That I may see the face of Christ,Dy noddym fakin eddyn Chreest 
Raad nagh vel baase ny smoo,Where there is no more death,Raad nagh vel baase ny smoo
Dy chiauleeagh dy bragh ayns Niau,To sing forever in Heaven,Dy chiauleeagh dy braagh ayns Niau
Jeh graih yn Çhiarn hur baase,Of the love of God who suffered death,Jeh ghraih yn Chiarn hur baase
Son slane sluight Adam trooid sheelnaue,For the whole offspring of Adam throughout humanity,Tan slane sluight Adam trooid shelnaue
Cha niartal va e ghraase,So mighty was his grace.,Chaniartal va y graase
,,
"October 20th,  1899 ","October 20th, 1899, ",Octtr 20th 1899
"E Farquhar, ","E Farquhar,", E Farquhar 
Creneash.,Cregneash.,cregnaish
