Manx,English,Diplomatic
Resooney rhym pene (i). ,,Resooney rum pene (i).
Ayns seihll dy voirey ta mee shooyl,"In a world of trouble I walk,",Ayns seihll dy voirey ta mee shooyl
Ny-yeih bee’m rey rish er y çhooyl,"Yet I will be rid of it by and by,",Ny-yeih beem rey rish er y choyl
Ta’n ghrian goll siyragh gys yn sheear,"The sun goes in a hurry to the West,",Tan ghrain gholl siragh gys yn shere
As dooys ta’n seihll gaase doo as keear,And for me the world grows black and dark.,As dooys t’an seihll gaase ghoo as keer
"Ny-yeih ta’n sourey aalin çheh,","Yet the beautiful, hot summer,",Ny-yeih tan sourey aalin chea
"Lane gerjagh dou dy chooilley hraa,","Is always very comforting for me,",Lane gerjagh dou dy chooilley chra
"Yn ghrain ta soilshean heose syn aer,","The sun that shines up in the sky,",Yn ghrain ta soljean heose syn aer
As druigh ta ooragh yn faiyr.,And the dew that freshens the grass.,As druigh ta ooaragh yn faiyr
"Dagh nhee ta’n crooder mooar er chroo,","Every thing the great creator has created,",Dagh nhee tan crooder mooar er chroo
"As cummal seose lesh bree e ghoo,","And sustained with the force of his word,",As commal seose lesh bree y ghoo
"As ushagyn ta lane dy chiaull,","And birds that are full of music,",As ushagyn ta lane dy chiaull
Ta jannoo taitnyssagh dagh boayl.,That makes every place enjoyable.,Ta jannoo taitnyssagh dagh boall
"O Yee, cur dooys yn Spyrryd Noo,","O God, give me the Holy Spirit,",O Yee cur dooys yn Spyrryd Noo
"Dy niartagh my hreisht ayns dty ghoo,","To fortify my trust in your word,",Dy nhiartagh my chreest ayns dy ghoo
"Dy hoieagh m’aigney slane ort hene,","To set my mind fully on you,",Dy hoieagh m’aigney slane ort hene
As grayse dy chosney maynrys beayn.,And grace to earn lasting happiness.,As grays dy chostney maynrys beayn
"Dy voddym lhie ec bun dty crosh,",That I may lie at the foot of your cross,Dy voddym lhie eck bun t crosh
"Choud’s t’ou spaarail mee ayns shoh wass,","Whilst you spare me in this world,",Chouds tou spaarail mee ayns shoh wass
"Son bee my vea dy leah ec kione,","For my life will be soon at an end,",Son bee my vea dy lheay eck kione
Myr Adam mârish ooilley e chloan.,Like Adam with all his children.,Myr Addam maarish ooilley y cloan
"Hiarn, cur dou grayse hooyd hene dy phrayal,","Lord, give me grace to pray to you, ",Hiarn chur dou grayse hooyd hene dy preeal
"As ayns fuill gheyr dty Vac treishteil,","Trusting In the dear blood of your Son,",As ayns fuill deyr dy Vac treishteele
"Ren roie son ain er Calvary,","That bled for us on Calvary,",Ren roie son ain er calvary
Dy chordail peccee reesht rish Jee.,To reconcile sinners with God.,Dy cordaill peccee reesht rish Jee
"O, Niee my annym ayns yn uill,","O, Wash my soul in the blood,",O nhiee my annym ayns yn uill
"Ta glenney peccee voish dagh foill,","That purifies sinners from every fault,",Ta glenney peccee voish dagh fooil
"Gys nee dy vighyn fakin mie,","Until your mercy sees good,",Gys nee dy vighyn fakin mie
Dy eamagh er my annym thie.,To call my soul home.,Dy eamagh er my annym thie
"Veih seihll dy voirey as anvea,","From a world of trouble and dischord,",Veih seihll dy voirey as anvea
"Dy akin Chreest ayns Niau, myr te,","To see Christ in Heaven, as he is,",Dy akin Chreest ayns Niau myr te
"O cum mee seose lesh dty laue yesh,","O, hold me up with your right hand,",O cum mee seose lesh dy laue yesh
Gys beem gys maynrys currit lesh.,Until I will brought to happiness.,Gys beem gys maynrys curryt lesh
E Faragher,E Faragher,E Faragher
