Manx,English
Naeearaght ny hErin.,
,
,"With the increase in tension between the USA and the Soviet Union, it is even more important that Ireland maintains her neutrality. Cruise missiles must not be sited in north eastern Ireland"
,
"Ta shin ooilley er chummal fo scadoo y vleaystan chesh-veanagh (nuclear) rish bleeantyn nish. Dy jarroo, v'eh jeeaghyn dy row sleih ennagh er nyarrood dy row cliwe Damocles erskyn ain. Agh cha nodmayd jarrood dy noddagh jerrey y teihll cheet tappee dy liooar. Er y fa dy chaill ad yn caggey ayns Vietnam as er y fa dy vel ny Rooshee syn Afghanistan, ta ny Americanee cheet dy ve debejagh. T'eh jeeaghyn dy jinnagh ny Americanee red erbee dy gheddyn greim er ""yn coill ain hene"" ayns Iran as cheeraghyn elley. Ta ny Rooshee toiggal dy vel teaymid gaueagh ayns Washington ec y traa t'ayn. Shegin dooin guee nagh bee caggey chesh-veanagh ayn. Sleih keoi as kimmee mollaghtagh - shen ny deiney yinnagh lheid y chaggee shen. Ad shid ta smooinaghtyn dy beagh ad bio lurg caggey chesh-veanagh, t'ad ass nyn geeall dy bollagh.",
"Ec y traa t'ayn, ta reiltys Hostyn gaarlaghey yn pobble da caggey. Dy chooilley laa, ta red ennagh taghyrt dy hoilshaghey shen magh. Ayns Lerpoyll, myr sampleyr, ren oik reiltys ennagh cur magh lioaryn-lowanse (ration books) trooid tuittymys. ""Yn chied vee, 1981"" va'n date er ny lioaryn-lowanse. Y sleih hooar ad, begin daue cur nyn enmyn gys yn Clattys ry-hoi Folliaghtyn Oikoil.",
"Er y fa dy vel ny Sostnee myr guillyn-drid ayns shirveish America, oddagh shin ooilley ve marrooit ayns caggey smessey na Armageddon hene. Shen y fa dy nhegin da Pobblaght ny hErin jannoo e cooid share dy 'reayll e naeearaght gyn cron. Cha nhegin jee goll stiagh ayns NATO as cha nhegin jee lhiggey da tilganeyn (missiles) Cruise ve currit er e thalloo, T'eh ymmyrchagh er dy chooilley chor dy bee Nerin aa-unnaneyssit dy tappee roish my vees caa ec Sostyn ny tilganenyn shoh y chur ayns twoaie ny hErin. Shegin da Nerin ve naeear.",
"Neayr’s y traa haink ny Sostnee dys Sostyn, t'ad er streeu dy fendeil ad hene noi noidyn er y cheu sheear oc. Ta shen dy ghra, cha nod ad jannoo lesh reiltys ayns Nerin ta noidagh (ny naeear). Shoh yn resoon ta Sostyn laccal tannaght ayns twoaie ny hErin yn resoon smoo scanshoil, aghterbee. Tammylt beg er dy henney, va pabyryn follit Clement ",
"Attlee clouit dy foshlit son y chied cheayrt. Va'n politickeyr Sostnagh er screeu dy ren Sheshaght-Obbree Hostyn e polasee y chaghlaa tra daag Pobblaght ny hErin Co-unnaneys ny Goal ayns 1948. Roish y traa shen, va'n Cheshaght Obbree noi scoltey ny hErin as ayns foayr jeh Nerin unnaneyssit.",
"Agh tra daag Divlyn y Co-unnaneys Goaldagh, dooyrt yn Cheshaght-Obbree (dy follit) dy begin da Sostyn tannaght ayns twoaie ny hErin dy fendeil Sostyn hene. Dooyrt Airey Neave y red cheddin dy foshlit bleeantyn lurg shen. Va Sostyn freggyrtagh da NATO, dooyrt eh.",
"Red beg, naeearaght ny hErin mastey doilleeidyn y teihll. Agh lhisagh shinyn, ny Celtiee, coontey ram jee. Dy beagh ny Yernee gra dy baghtal nagh row ad laccal ve stroit ayns caggey eddyr ny Rooshee as ny Americanee verragh eh cree da Celtiee elley as da sleih onnoroil as keeallagh ayns Sostyn. Cha nel shin ooilley shirrey yn baase.",
,
Brian y Stoyll,
